index,certificateId,studentName,program,issueDate,file,pdfBytes,rawSha256,canonicalSha256
15,RTU-2026-CS-000015,Rita Zarina,Computer Systems,2026-04-16,cert_RTU-2026-CS-000015.pdf,1381,c4a8c31c9fc2f5878654135ead00997506f8c7d821ba5b7c7b8548c10e1715f4,eb9ea08b0d4ed19602a5a00f37898ac35a77cf04c9214f252bec229ae0682913
16,RTU-2026-CS-000016,Hasan Berzina,Information Technology,2026-05-17,cert_RTU-2026-CS-000016.pdf,1383,1b8849f7cf3b23cf6f03c7dfe8ff5dcbf3b5b829910ced1f12d5dbfdda88d0fc,9a2cb963f1cc6cc4c4ec663c2d39df5c882de739db4837268f05179b29d4ee23
17,RTU-2026-CS-000017,Elina Ozols,Applied Computer Science,2026-06-18,cert_RTU-2026-CS-000017.pdf,1400,0c1baf1e18aa7151f524d64a704f5d7a24b481796def09ac9ab28ee31ba3bbcd,6df77877342469a12a2def609986e2975836085569d47072538828cd83887783
18,RTU-2026-CS-000018,Janis Kalnina,Electronics,2026-07-19,cert_RTU-2026-CS-000018.pdf,1377,0393974a1443cceeabe56438e47e5b80c107db9baf1dd61930f2b4a427ea6273,dce3e7be7266a5fd77de178b3aaba25fc0c506071d74841afc41953bd6f7a39e
19,RTU-2026-CS-000019,Sofia Petrov,Telecommunications,2026-08-20,cert_RTU-2026-CS-000019.pdf,1380,81940fe8a4f918a79fe46c79053078682294d40186cc8fa4b70427bcb662fe2e,a23a3fd3840854221bc6d2e955d3ad174ce6041237876c55c19db4f91723559b
20,RTU-2026-CS-000020,Marko Liepa,Computer Systems,2026-09-21,cert_RTU-2026-CS-000020.pdf,1383,761d55910ec1a9b06f33af6c991280a585f824aa9b229e3066a192e568fcb324,037438dd8f093fc740c30051177afd7a7553aaa0825a69fe060cdb400de0fda3
21,RTU-2026-CS-000021,Liga Vitols,Information Technology,2026-10-22,cert_RTU-2026-CS-000021.pdf,1393,9b2df995a0584f90d18f0260cbe0cfb005708e841ecc508f88243cd2e0b81572,3e6119039203331b715bf3a49d6309370a59a48020eeefe915773daf14ae0cef
22,RTU-2026-CS-000022,Andris Tanaka,Applied Computer Science,2026-11-23,cert_RTU-2026-CS-000022.pdf,1397,cfcc480462facc905ce34a6524fa47bb77c4e0c4ef5354204206d658c5dbccff,c41e48b2e27428e70db27c7208de87e1f250ed4f9e5ae721836b1d9384df91e9
23,RTU-2026-CS-000023,Yuki Haddad,Electronics,2026-12-24,cert_RTU-2026-CS-000023.pdf,1367,80f213c210d0116f615becf742a793696ab3ad3a92e44d5439a97ee07cae8a9d,74564456fe838d24953103ff01daaf679c8958f095fa99fe20b26a9b7be42a7f
24,RTU-2026-CS-000024,Omar Novak,Telecommunications,2026-01-25,cert_RTU-2026-CS-000024.pdf,1383,6b6e128a949b60061a107423757c6a765811c2e5c608e35886319551eeb953fc,577fe348920601d0e7df29ecd9bee27ad08c181e23f79bef836c3cedfd4ec2e3
25,RTU-2026-CS-000025,Anna Kowalski,Computer Systems,2026-02-26,cert_RTU-2026-CS-000025.pdf,1395,7da47d85b94da72185a8624c5cc122cd8a8e88051bcb9e20f053f10084404894,ae08d15b735f5e612be83cd7d5bc7df81cbae00a3d4e39ba4750a98327566118
26,RTU-2026-CS-000026,Pavel Saar,Information Technology,2026-03-27,cert_RTU-2026-CS-000026.pdf,1387,6b6a1da4e4b60fdbb240d9de3f28d1a637b75ceff776856a5b442bf7bf724543,116b7f537c598c7ef95f306e9ecc2a46f59b622a87b35c729b66b7160ea48573
27,RTU-2026-CS-000027,Nadia Lapsa,Applied Computer Science,2026-04-28,cert_RTU-2026-CS-000027.pdf,1389,05854c78b9985392601ce6d60cc46e4f7287f8fc20d13bc1bc6ed49858468ee8,e3f17b903a48b7525bb5990f2b08fcf7931085e0bc20785dd59a11166496f388
28,RTU-2026-CS-000028,Tomas Costa,Electronics,2026-05-01,cert_RTU-2026-CS-000028.pdf,1367,dcc9a9d69d8bd58789904ecb5116683dee487a403d401a66ab4a32b008bf426c,53c6d63d48f5a8bb63059831ae8918f85924d67223062bab4eedd768950d3c5e
29,RTU-2026-CS-000029,Ines Meyer,Telecommunications,2026-06-02,cert_RTU-2026-CS-000029.pdf,1388,f0540083680738659f89355b563ce5a52c125da10375573639a6954f1a55d6d8,745d47361542a225867c63a20fd7f61a17cc04feaf390a78155bd12ff0b0a284
30,RTU-2026-CS-000030,Karl Zarina,Computer Systems,2026-07-03,cert_RTU-2026-CS-000030.pdf,1388,58baba8adf04cc42cecb9bf52be05a6ac4d4b3c83d4cd631e77fe4ac128a36b3,33ce3eee122eddf023c90318c3681da0f8a4954327d887aef7a52ac2238879b9
31,RTU-2026-CS-000031,Rita Turan,Information Technology,2026-08-04,cert_RTU-2026-CS-000031.pdf,1384,0f2e92932d2c98e42e9d77866e59c61034a066a94c0fd8eb157ec16b1dff92bf,ee0df48faf88323a7d75dad2b6bc0670589daca4b152b8f956516b5b6ea40dfd
32,RTU-2026-CS-000032,Hasan Ozols,Applied Computer Science,2026-09-05,cert_RTU-2026-CS-000032.pdf,1390,666551a9200c81e05c65bf3d562c16b1e9cd45f5d6ae5855cd7c0a5daa9d9dc5,8533e928f219c524e9e4a55c1497fd2180265464b0419c1f69e5da8dd5214017
33,RTU-2026-CS-000033,Elina Kalnina,Electronics,2026-10-06,cert_RTU-2026-CS-000033.pdf,1382,6c7f4c5b855a77e9a1c3f7bf9ae2179b2ef041b9a54cce47ce703f89f01da116,71940f07a1934e25e2934aab97eea369796ee345951de8bfaa010cf794c043de
34,RTU-2026-CS-000034,Janis Petrov,Telecommunications,2026-11-07,cert_RTU-2026-CS-000034.pdf,1394,2d760cd34c61130d8ea560773e2e145352e8cebb58fb505f44ea1261f87018db,02ddad8f3f3822486d7c4477bb7abfea21d542858ddfb8f8807991ff6f7b4638
35,RTU-2026-CS-000035,Sofia Liepa,Computer Systems,2026-12-08,cert_RTU-2026-CS-000035.pdf,1380,8d862ba6c31bf62fd8c8183efd52d87c80d32eeb7c794489b9c44f7192e6e4cc,4744b7819ef6a23b46c7751dddb0e87b6c316dbd5fe326d4de1fc19b43d4bd65
36,RTU-2026-CS-000036,Marko Vitols,Information Technology,2026-01-09,cert_RTU-2026-CS-000036.pdf,1383,42847b12e39caa3875f70738ffbfb5bdefaece7f3bbef4bb42dcde4f4965631f,d6b9a5242f5bfe99a2bf1e094d560f682cf3ce8b5300ecabaefb81c544611acb
37,RTU-2026-CS-000037,Liga Tanaka,Applied Computer Science,2026-02-10,cert_RTU-2026-CS-000037.pdf,1399,6d381374bd48094ac74c9aa55d1a246e9336fcdd0efbd2da49123c2185929d99,b146e34ba57423acbf95ab135f063993f3cee478fcb3cc9d59abd01eeb215255
38,RTU-2026-CS-000038,Andris Haddad,Electronics,2026-03-11,cert_RTU-2026-CS-000038.pdf,1379,df223b0e58e755dfa6ddfa37c882614c516f53415ddbef8feea0aa1c9146366b,dc1d98dd054c1bb314fb64d1449634519e636a4f349fbd4ac91c4913e6cb32f6
39,RTU-2026-CS-000039,Yuki Novak,Telecommunications,2026-04-12,cert_RTU-2026-CS-000039.pdf,1383,05cd8451bcfe570d44c33dd9216e2e25bef978ef54c5adb145f70fbcee3ba022,e82dab3be0269b201c8b714d0a270c7821623b3e7b23c6a26cce5a72f65da903
40,RTU-2026-CS-000040,Omar Kowalski,Computer Systems,2026-05-13,cert_RTU-2026-CS-000040.pdf,1388,5c8154288a4c8929679cfef6532690e9aaa9be9defd5a237df3e8d9386dd8774,220f47e690af8402896e0e65110c6c9a9cb5c9dad7e73d8e6c2fe4353b9d7c82
41,RTU-2026-CS-000041,Anna Saar,Information Technology,2026-06-14,cert_RTU-2026-CS-000041.pdf,1393,327854ec3f301aa0e33fa099669f7fea28442b4a26fed59ae32125ec0e1e44f4,560f716a2c720c7ca638e3fd0cecb1e966f4da71f93143ce8605c32cb3fbaad3
42,RTU-2026-CS-000042,Pavel Lapsa,Applied Computer Science,2026-07-15,cert_RTU-2026-CS-000042.pdf,1397,cbb7b4448e8ebbc53eb823c1ffa8a75ea4b6a25b31589b42bfa652a6d7f120e5,f2e7313dabe3e19cad985b2c3bb47518e178752b37fbf5aa55818c29e9d6401b
43,RTU-2026-CS-000043,Nadia Costa,Electronics,2026-08-16,cert_RTU-2026-CS-000043.pdf,1370,5b1f92edbf3c58b41875f72847c9846ba2c960c362da827f4dde7209c2d32a53,0b9e666019471eb1b05720b01f2bf6ed804e8009346cb8bfc860336b9a00084d
44,RTU-2026-CS-000044,Tomas Meyer,Telecommunications,2026-09-17,cert_RTU-2026-CS-000044.pdf,1382,baf2c4c98874591b5bdb385236b8127a80b6dc65322cdc4a87786096f06aa3c5,d342ed58660cf55ec286efc344cf4e6796ac8799b3309beb79afce35684a1d15
45,RTU-2026-CS-000045,Ines Zarina,Computer Systems,2026-10-18,cert_RTU-2026-CS-000045.pdf,1395,8eadbaaf9403f6b1de4c271ca9eef7574c3679f2e6191afa3153502e2d725b99,db6836cfb82ecbc3b2362ca8f59039d2f1c260dcc9b5e192f0d79cf3158cac20
46,RTU-2026-CS-000046,Karl Turan,Information Technology,2026-11-19,cert_RTU-2026-CS-000046.pdf,1391,ca6a872175f3939cb627d1daff0de90325da38ec1b61fa1c2d58f1c26de5ec71,1e57434719b014db09782dc97ecbd593de4d4455ca3e68e49549407227bcbd7a
47,RTU-2026-CS-000047,Rita Berzina,Applied Computer Science,2026-12-20,cert_RTU-2026-CS-000047.pdf,1389,e8936d6591c25f7912fa21a1eaac0bdb0a5ecbc3a11e537f0546fc8124dc3964,145299a2e31d63c70a3808082b67d9c89135d990d52068eac344341edc6d0e29
48,RTU-2026-CS-000048,Hasan Kalnina,Electronics,2026-01-21,cert_RTU-2026-CS-000048.pdf,1371,24e9d79775c4d7252f1fa7b926882309872f6610c4b40e62c8af1fa672296b21,02418bb7cc11b147d65581263331dbaff38205f350c289a21235727ae129ec63
49,RTU-2026-CS-000049,Elina Petrov,Telecommunications,2026-02-22,cert_RTU-2026-CS-000049.pdf,1394,1b3b6a42e63e544c9bb1174d6b357f42869c5f83acdff805d1f3f2b8596cd8b9,889cc34515dd6f322239ae7e4d5a887181abbb429451a7a8baebe11178a49aa3
50,RTU-2026-CS-000050,Janis Liepa,Computer Systems,2026-03-23,cert_RTU-2026-CS-000050.pdf,1390,b45c1cefa7d1427efb98b4f864fb1e4e47b100f2ea08b63f9466e72937bd3c57,232d3f6f48c0092a8ec2224c87f8577b2398b71175140b7befd7c0ee685eea24
51,RTU-2026-CS-000051,Sofia Vitols,Information Technology,2026-04-24,cert_RTU-2026-CS-000051.pdf,1385,f4fccd4ad8b800cf7fb4150bbefc8dccfd14d9c04fc031f9e687c507b574eb05,47a53b74ea35b4736f438cf3d869e1b29b4608fe7f7b32dc34469eef317f70be
52,RTU-2026-CS-000052,Marko Tanaka,Applied Computer Science,2026-05-25,cert_RTU-2026-CS-000052.pdf,1389,422c970c61d5f02c54885db233da9ca6708d59e16b7f7d80697b10868ed1393f,23dad89c5b460efbd1df1d455a38f430285c34b9a20b62bc74b472f13eacb671
53,RTU-2026-CS-000053,Liga Haddad,Electronics,2026-06-26,cert_RTU-2026-CS-000053.pdf,1380,05497946fa0311aa396011bfa8908cea2e52955ffdf32cf343b5ea58f613c59e,a2a135dc6f563bd7220a31d22b5ac2b52923781dcc396138e461984b3e14711e
54,RTU-2026-CS-000054,Andris Novak,Telecommunications,2026-07-27,cert_RTU-2026-CS-000054.pdf,1393,d44168bb2a042bf5bc66d28b5b959a481e604f18b3de0c00299398c0ead0642b,0ca724befa381a4740d91475bcd9923312b60ba4f51a1c7fbaf41a2b214de7ae
55,RTU-2026-CS-000055,Yuki Kowalski,Computer Systems,2026-08-28,cert_RTU-2026-CS-000055.pdf,1382,b5be8b295285bd707af2abe9abeb446f89ac8a9b4b1648e8be180e06342c8891,c516333c9829cf6240a29d75fc43956e8b960ac544853434e2ad88163821f2c1
56,RTU-2026-CS-000056,Omar Saar,Information Technology,2026-09-01,cert_RTU-2026-CS-000056.pdf,1379,a1fa2ef71ada984663319de3fd6f59aed274cb43cbf03ce18d081be359df983f,927844defff2dab550a770fe236cc1043c47f5eb39bd18b2580e452a0b1ece45
57,RTU-2026-CS-000057,Anna Lapsa,Applied Computer Science,2026-10-02,cert_RTU-2026-CS-000057.pdf,1397,b1cd8f2360efbea54c58449d303af044a14e66934b1a5ed900bfc5d0cfc037d0,3c7ac58c6ab43235b200030d9e38a1a514e6d336cd2829ab64bdd016a88b00ec
58,RTU-2026-CS-000058,Pavel Costa,Electronics,2026-11-03,cert_RTU-2026-CS-000058.pdf,1378,c196dfc6b2cd045d1d004e8afa454cec73acd319b784420b3eed6e2d90506c86,c503223a5822ac9792f28671aa3dd5ec07e6ce5d0c84e975c9bb1c85ad9a2291
59,RTU-2026-CS-000059,Nadia Meyer,Telecommunications,2026-12-04,cert_RTU-2026-CS-000059.pdf,1385,391e73970eb3c56dcadf3157369554a31dfb14b2ab51fda8d3b4a5ac3ec49892,5369236e94eaf1143607c7fdfc220c9cf2a490ca39900819f1615e3441e44cd9
60,RTU-2026-CS-000060,Tomas Zarina,Computer Systems,2026-01-05,cert_RTU-2026-CS-000060.pdf,1383,75caa8812f506076ace593e7b39eb78d1283113797b6c3e15cc1c3bccd5f7f37,705e81d7fea47c52e04ed1598d11e56142cd8bd91e2160920beb5810fe3e56e4
61,RTU-2026-CS-000061,Ines Turan,Information Technology,2026-02-06,cert_RTU-2026-CS-000061.pdf,1393,ca29b59b2514e3c5bdde00a74dd98d9137cf501a18941d62d9b2ad4021f8c0c7,4bf78ad3d11ea21c161f7731827cf3dd641fefc04b6d6e333b88bf6b1d1ea1dc
62,RTU-2026-CS-000062,Karl Berzina,Applied Computer Science,2026-03-07,cert_RTU-2026-CS-000062.pdf,1394,c1bd8f19b45e9284ce1ed36aecb1aaf2745305c6c6a670c4e3746637640dcaeb,a2c429380deb0e027da7ef8a04a9e6708e9c19d542322fd88c5a69fb30fcc753
63,RTU-2026-CS-000063,Rita Ozols,Electronics,2026-04-08,cert_RTU-2026-CS-000063.pdf,1368,5ef736b941e63e48b8fce7df6f900d9b137adad17e4c1661d3a22325b38d70dc,7b88c38e84576fcb276a857bc3a1d1eef2e35a6dea1e35bc46210b26bb182432
64,RTU-2026-CS-000064,Hasan Petrov,Telecommunications,2026-05-09,cert_RTU-2026-CS-000064.pdf,1383,35c4702c129659649a164e035717a2d6ea57dcfb88744ca49cadc85fba1e1d8f,816a99b5626af3fda00f44936697ae9ad9ee93ed662967f6d88a8565b92e85cb
65,RTU-2026-CS-000065,Elina Liepa,Computer Systems,2026-06-10,cert_RTU-2026-CS-000065.pdf,1396,278bcf8c5521e4b77ad06343b12bdf56d013d1b3470ad9abfb0af1d05a8d3d52,7e04cfbfbe1eede3bfd547a2eb2bb062f86f4e41641a4b006d2e0c846f97b1f0
66,RTU-2026-CS-000066,Janis Vitols,Information Technology,2026-07-11,cert_RTU-2026-CS-000066.pdf,1394,fe7e5725d8dd5a4ee9240f93e94d449060c50fe9d6a105034c94bf3b07bee99f,d21713b9b8da1ffe8674f328d65c6bd52ba6dd6a08afe8f7350b290f4e3b6a9e
67,RTU-2026-CS-000067,Sofia Tanaka,Applied Computer Science,2026-08-12,cert_RTU-2026-CS-000067.pdf,1386,2777eff6225d87942c5a23f8e3f9a04f17460f4c84770d0597316857b372ead1,6e1766c704b2ac9794e038dab79132848372afefd712bce8645590c658b615c1
68,RTU-2026-CS-000068,Marko Haddad,Electronics,2026-09-13,cert_RTU-2026-CS-000068.pdf,1371,b870c531676acd139bb3721262fe46136f92feb39a0e68d2de8fba7c8380422d,a87e610f7f662196abd7bbbb4bd23c6efd17e945bef7dad4c32fc6e9d45830b5
69,RTU-2026-CS-000069,Liga Novak,Telecommunications,2026-10-14,cert_RTU-2026-CS-000069.pdf,1395,1500cd645a1dc668a67a216b299f218b80897b515dead62d2be5a44c31404202,31ab7fac3c5b7b8e71e7ea81b6b061d4d581c23e20a0150a7a7f273c655547d6
70,RTU-2026-CS-000070,Andris Kowalski,Computer Systems,2026-11-15,cert_RTU-2026-CS-000070.pdf,1394,b763cbdecec1c85ec8a614cb9bba5d049799a7c699467bffccac39815a42e524,f6ff3fa231d3c5e15d93471bf2ea33154bfd79d33dca666897f5cc0f25e08466
71,RTU-2026-CS-000071,Yuki Saar,Information Technology,2026-12-16,cert_RTU-2026-CS-000071.pdf,1382,4692ca2c16f3d2d69e9d161b3c5c1f8aec79d12e4d68fd2b44bcaa0a898fb6c4,b2aedb9bbb6cdc08a6f4b56c663490e06e7e1650a7f0ca4de684aeb5947268fa
72,RTU-2026-CS-000072,Omar Lapsa,Applied Computer Science,2026-01-17,cert_RTU-2026-CS-000072.pdf,1390,c5994ba698e32f906c4bc2c2b222d978444ee0f048513f772f0ce2b4116f51b4,315b2d28364300fcbb5a7e86fb76a46ab72956a33080c9475f04cd2502df5c88
73,RTU-2026-CS-000073,Anna Costa,Electronics,2026-02-18,cert_RTU-2026-CS-000073.pdf,1380,716848bf42514a307c66a2cd0ce1d59d63e7d40035d46fddee7b6164e3f0de25,0e858a519c5c96895b95766b591991d48369cbbd1dab6ddfcddb4c744b194d6e
74,RTU-2026-CS-000074,Pavel Meyer,Telecommunications,2026-03-19,cert_RTU-2026-CS-000074.pdf,1390,34adeb1e1919f225217cad8c69ac699ae191f153ac55e3ecc98f1bc0c126aeb9,5ec8ddc3b19b4cb1a3a23caf800259eab56f338d216c7a4ca02f8ea8a528d341
75,RTU-2026-CS-000075,Nadia Zarina,Computer Systems,2026-04-20,cert_RTU-2026-CS-000075.pdf,1384,63b163c01603c940571d8e46cdb2acf0396ddad5d87423053b331ac4bcf1c63e,0426b59ec9cf91fbfde7426bb3968513d9a1ccddfa306736a2d7242f4c4df9a0
76,RTU-2026-CS-000076,Tomas Turan,Information Technology,2026-05-21,cert_RTU-2026-CS-000076.pdf,1384,afe936578cdae2fc672c35e1f1cded050eddbfee97ba62d98df9c6e9c922bb12,0f247ba3927d4a1bdab18f6cefee9cbd2246ead0ef72b35bad521c4bd13d350c
77,RTU-2026-CS-000077,Ines Berzina,Applied Computer Science,2026-06-22,cert_RTU-2026-CS-000077.pdf,1398,ce82e0f254850e748ee0593c6746e685ffdc78d6470d74f528751b467932dc71,f3640f61699e90ce941cee49769d9b66bd0fb94a44f15f16b33aa4af84815971
78,RTU-2026-CS-000078,Karl Ozols,Electronics,2026-07-23,cert_RTU-2026-CS-000078.pdf,1375,5a937474a5c283963e1b7c3e1eba2ae01effd703208f6202c3a27e65144b30ad,325707f9d74dd4d2af82489e952ba87a739ea7911cd4f7e6a25aa9b3026136da
79,RTU-2026-CS-000079,Rita Kalnina,Telecommunications,2026-08-24,cert_RTU-2026-CS-000079.pdf,1383,d0118e34b6c0aacf2d23b76911e107a8437546cbfa7c6b76066f9a1dc171e98c,ffc613a408cfe71d3c8ec51b757f674ccf5495318fa7afa296fac063c845d53f
80,RTU-2026-CS-000080,Hasan Liepa,Computer Systems,2026-09-25,cert_RTU-2026-CS-000080.pdf,1385,b1554de8a91d55f9a3551475b5fb00710054449717667e88d7b821389d537c69,8d850a9e9adbc004388e1790b4f2f83f6a7fa8bb9193339d9e1a65121710594f
81,RTU-2026-CS-000081,Elina Vitols,Information Technology,2026-10-26,cert_RTU-2026-CS-000081.pdf,1395,9844e931b0283c7398a8c64254880b919adb440a84aabb269e1ff521a1f2f28e,c50e7fe81b9a020fa2f82456c4728c31d33e7c0f531c152995d03af7a15956c6
82,RTU-2026-CS-000082,Janis Tanaka,Applied Computer Science,2026-11-27,cert_RTU-2026-CS-000082.pdf,1397,08ac9a158d5ade6d10fc8c1972211a1cfca7caa9c9763115caad12f3e26f28a4,7874866719b983f0300488027c185b4b37f20cf5adf80bfc537d4011e4b84ac4
83,RTU-2026-CS-000083,Sofia Haddad,Electronics,2026-12-28,cert_RTU-2026-CS-000083.pdf,1368,c2041d0ca28683ebd87d32a4f301642c86cccc9bba68825e12b89790bca7d9ac,a2b7bf6ac73f6cd9be78a6de2fb5a52a53fe207177bd3749daf4837b24d5c302
84,RTU-2026-CS-000084,Marko Novak,Telecommunications,2026-01-01,cert_RTU-2026-CS-000084.pdf,1386,0c18eecf057fd1d309a41671a4ee913639fc4421867642b4b4256c238865a178,e6777613c0b2752a530ae161063ba490e896270e71b4872b55b123dfc562af50
85,RTU-2026-CS-000085,Liga Kowalski,Computer Systems,2026-02-02,cert_RTU-2026-CS-000085.pdf,1395,25c5f63cb838aeae7f41bb73ed6fb464222c3991cd207cb732ac5a33babd250a,808cbda22fcc0c11885979c850e06068e3e402950392314cf7eb2c99373e61db
86,RTU-2026-CS-000086,Andris Saar,Information Technology,2026-03-03,cert_RTU-2026-CS-000086.pdf,1386,6f5ce0b7512b428e803965af2d9389838ff17d95799456bf0024bac583076371,c675d75ff651cf4afdfac55fb25e0366307e77ec84468a6173ccd7b57bbce77a
87,RTU-2026-CS-000087,Yuki Lapsa,Applied Computer Science,2026-04-04,cert_RTU-2026-CS-000087.pdf,1387,1becfa52e485d997e2780ef3d13aa34442d2e19506efb4597b4dd55ae173fd97,31097ba5da82c0098536cf35f769751a3917877e999fe388b66f486d0e4146ad
88,RTU-2026-CS-000088,Omar Costa,Electronics,2026-05-05,cert_RTU-2026-CS-000088.pdf,1366,5b86048bb0f89e18455386309fbb6922dd46b33f61962c0c09e57654427440f1,6540d02f8e5c7eeb7888b69b88e73a002551fbb692ebe3e7b261968652620c2f
89,RTU-2026-CS-000089,Anna Meyer,Telecommunications,2026-06-06,cert_RTU-2026-CS-000089.pdf,1390,990992d6bd11dfc675db25c331e1c8406c9ce1581eff29fb83caade718f12415,80464c63da3de90e8780406eb4fb0206bf66a03c403e87a6494a91ce7be7de53
90,RTU-2026-CS-000090,Pavel Zarina,Computer Systems,2026-07-07,cert_RTU-2026-CS-000090.pdf,1391,d3c29a51b1352888dee3b483672daab0573e6b46e5fa6268369c9ad5f7395bdc,844d25e304419a16aeea48e9484fa296884b46fd56edb40ca3a24a2fa46b2750
91,RTU-2026-CS-000091,Nadia Turan,Information Technology,2026-08-08,cert_RTU-2026-CS-000091.pdf,1383,8dd91cba1815d7098ce1023e4d144b9ce08136b648769701d004f4ef28fce7e7,b81c5a88eded9ab38c0975a4ec16752da95140e3ad079b9b61f3653002e7cef8
92,RTU-2026-CS-000092,Tomas Berzina,Applied Computer Science,2026-09-09,cert_RTU-2026-CS-000092.pdf,1387,5cfb06d6c220e2d9be86b6f5fceafececf30e0a4f0a99bf60d30fdb9e2002064,10a9efe0f26d47f6331f0110ad0d00d1e1183ad8430a509137d5153c6e14e8d3
93,RTU-2026-CS-000093,Ines Ozols,Electronics,2026-10-10,cert_RTU-2026-CS-000093.pdf,1380,08da9b73140b911cbdd5174749115f63bd0fc8f80b2c6ecec1cb9dbfc4c9d1a8,cfca8283160d71d142bbb393c425e7410d744973509562934ebc9c71176ea325
94,RTU-2026-CS-000094,Karl Kalnina,Telecommunications,2026-11-11,cert_RTU-2026-CS-000094.pdf,1393,77833ec8a7c93eb46e1db7fc35515ec3de25484e7ae48d9568f9daa19e89f780,b0cf5c4e9271e582e25ed6cc6fbcfb634c4134366502cc169e96c2d81b8a0ad5
